Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R1,2k,R_0603_1608Metric,126.0,-118.2,0.0,bottom
R2,2k,R_0603_1608Metric,125.9,-124.7,0.0,bottom
R3,2k,R_0603_1608Metric,125.925,-123.0,0.0,bottom
R4,2k,R_0603_1608Metric,126.0,-104.8,0.0,bottom
R5,2k,R_0603_1608Metric,126.0,-121.4,0.0,bottom
R6,2k,R_0603_1608Metric,126.0,-119.8,0.0,bottom
R7,2k,R_0603_1608Metric,126.0,-106.4,0.0,bottom
R8,2k,R_0603_1608Metric,126.0,-103.2,0.0,bottom
R9,2k,R_0603_1608Metric,126.0,-101.6,0.0,bottom
R10,2k,R_0603_1608Metric,143.6,-63.5,0.0,bottom
R11,2k,R_0603_1608Metric,143.6,-56.8,90.0,bottom
R12,2k,R_0603_1608Metric,126.0,-116.6,0.0,bottom
